Date,Time,Open,High,Low,Close,Volume
2023-01-31,00:00:00,134.53,147.23,133.22,143.8,6337577.74
2023-02-15,00:00:00,144.29,157.38,141.32,155.48,7243220.04
2023-02-28,00:00:00,155.41,156.33,145.72,146.93,3738306.28
2023-03-17,00:00:00,147.66,156.88,143.54,154.6,7775160.51
2023-03-31,00:00:00,152.88,165.0,151.64,164.9,6801515.87
2023-04-14,00:00:00,164.47,167.0,159.7,165.0,3894179.46
2023-04-28,00:00:00,165.25,169.85,162.66,169.59,4205283.41
2023-05-16,00:00:00,168.4,174.59,162.75,172.23,5573363.57
2023-05-31,00:00:00,172.18,179.35,170.07,177.76,4694750.03
2023-06-15,00:00:00,177.8,186.52,176.58,185.73,5754489.44
2023-06-30,00:00:00,183.84,194.48,182.59,194.28,5286016.02
2023-07-14,00:00:00,193.99,195.27,186.6,190.7,3382231.13
2023-07-31,00:00:00,190.67,198.23,190.22,196.32,4550204.94
2023-08-14,00:00:00,196.35,196.99,176.66,179.91,5078213.48
2023-08-31,00:00:00,179.4,189.12,171.7,188.11,5425768.46
2023-09-13,00:00:00,188.32,189.98,173.54,174.09,4869027.81
2023-09-29,00:00:00,174.58,179.7,167.64,171.23,6286780.59
2023-10-13,00:00:00,172.7,182.34,169.26,178.41,4209651.43
2023-10-31,00:00:00,180.24,182.34,165.3,170.38,6411267.34
2023-11-10,00:00:00,170.6,186.57,169.33,186.26,4200927.99
2023-11-30,00:00:00,185.35,192.93,184.21,190.3,4688908.34
2023-12-12,00:00:00,189.98,195.99,187.45,194.77,3228432.26
2023-12-29,00:00:00,194.51,199.62,191.09,192.15,5090223.51
2024-01-11,00:00:00,191.52,192.53,179.68,185.4,3761034.47
2024-01-31,00:00:00,187.0,196.38,180.3,185.7,6075702.03
2024-02-09,00:00:00,185.49,191.81,179.1,188.53,3288498.15
2024-02-29,00:00:00,188.8,189.9,179.53,180.63,5728419.6
2024-03-11,00:00:00,180.6,181.3,167.35,173.29,4174795.77
2024-03-28,00:00:00,173.5,178.68,169.11,171.18,7242431.2
2024-04-10,00:00:00,172.02,172.02,167.11,167.85,2895381.1
2024-04-30,00:00:00,167.96,178.36,164.07,169.96,6976161.3
2024-05-10,00:00:00,170.5,187.04,169.1,182.5,4728037.39
2024-05-31,00:00:00,182.75,194.81,182.11,192.48,6535020.45
2024-06-07,00:00:00,192.45,196.97,191.77,196.9,1960846.77
2024-06-28,00:00:00,197.0,220.2,191.28,211.66,11774114.91
2024-07-09,00:00:00,211.89,229.4,210.5,229.0,2615755.48
2024-07-31,00:00:00,229.11,237.23,214.62,223.8,6404580.84
2024-08-08,00:00:00,223.8,225.6,196.23,213.95,3468346.63
2024-08-30,00:00:00,209.75,232.92,208.69,229.11,5145134.48
2024-09-06,00:00:00,229.27,229.84,217.48,220.14,1327006.47
2024-09-30,00:00:00,221.95,233.25,213.92,233.15,7445106.2
2024-10-07,00:00:00,233.33,233.56,221.22,221.8,1512016.66
2024-10-31,00:00:00,222.1,237.49,220.0,221.71,5075439.67
2024-11-06,00:00:00,222.27,228.78,219.72,222.47,1354753.87
2024-11-29,00:00:00,223.14,237.9,221.5,237.49,4879855.85
2024-12-06,00:00:00,237.1,244.63,236.0,242.3,1386676.5
2024-12-16,00:00:00,242.53,251.38,241.57,251.0,2258478.17
